sys_util,period,processors,task_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.7000000000000001,uni-moderate,1,exp-heavy,0.3842105263157894,0.4263157894736842,0.43157894736842095,0.43157894736842095
1.0,log-uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.1,uni-moderate,1,exp-light,0.9083969465648855,0.9083969465648855,0.9083969465648855,0.9083969465648855
0.7000000000000001,log-uni-long,1,bimo-light,0.9217391304347826,0.9565217391304348,0.9565217391304348,0.9565217391304348
0.2,uni-moderate,1,exp-light,0.8425925925925926,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.7000000000000001,log-uni-short,1,uni-heavy,0.0,0.0,0.0,0.0
0.8,uni-short,1,exp-heavy,0.0,0.0,0.0,0.0
0.2,log-uni-long,1,bimo-medium,1.0,1.0,1.0,1.0
1.0,uni-long,1,exp-heavy,0.0,0.0,0.0,0.0
0.4,log-uni-short,1,uni-light,0.0,0.0,0.0,0.0
0.7000000000000001,log-uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.6,uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
1.0,log-uni-short,1,exp-heavy,0.0,0.0,0.0,0.0
0.8,log-uni-long,1,uni-heavy,0.6130790190735692,0.6866485013623981,0.6920980926430514,0.6920980926430514
0.8,uni-moderate,1,uni-heavy,0.13537117903930126,0.17467248908296956,0.17903930131004372,0.17903930131004372
0.6,uni-moderate,1,uni-light,0.42744063324538256,0.39841688654353563,0.39841688654353563,0.39841688654353563
0.7000000000000001,uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
0.9,log-uni-long,1,bimo-heavy,0.009999999999999998,0.029999999999999995,0.039999999999999994,0.05
0.6,log-uni-short,1,exp-light,0.0,0.0,0.0,0.0
1.0,uni-moderate,1,uni-heavy,0.0,0.0,0.0,0.0
0.8,log-uni-moderate,1,bimo-light,0.0,0.019999999999999997,0.019999999999999997,0.019999999999999997
0.4,log-uni-short,1,exp-heavy,0.09558823529411764,0.08823529411764705,0.08823529411764705,0.08823529411764705
0.4,log-uni-moderate,1,uni-heavy,0.5691906005221926,0.548302872062664,0.548302872062664,0.548302872062664
0.9,uni-long,1,uni-light,0.0,0.0,0.0,0.0
0.30000000000000004,log-uni-moderate,1,bimo-heavy,0.6601123595505616,0.6432584269662925,0.6432584269662925,0.6432584269662925
0.30000000000000004,log-uni-short,1,uni-heavy,0.21153846153846154,0.2,0.2,0.2
0.6,log-uni-long,1,exp-light,1.0,1.0,1.0,1.0
0.1,uni-long,1,bimo-medium,1.0,1.0,1.0,1.0
0.5,uni-long,1,uni-medium,1.0,1.0,1.0,1.0
1.0,uni-short,1,uni-light,0.0,0.0,0.0,0.0
1.0,log-uni-short,1,uni-light,0.0,0.0,0.0,0.0
0.5,uni-moderate,1,exp-light,0.6100795755968171,0.5809018567639258,0.5809018567639258,0.5809018567639258
0.2,uni-long,1,uni-light,1.0,1.0,1.0,1.0
0.5,log-uni-moderate,1,uni-medium,0.39459459459459434,0.3702702702702702,0.37567567567567567,0.37567567567567567
0.9,uni-long,1,exp-medium,0.009999999999999998,0.029999999999999995,0.05,0.05
1.0,log-uni-long,1,exp-heavy,0.0,0.0,0.0,0.0
0.9,uni-moderate,1,exp-light,0.0,0.0,0.0,0.0
0.8,log-uni-short,1,uni-light,0.0,0.0,0.0,0.0
0.8,log-uni-short,1,bimo-light,0.0,0.0,0.0,0.0
0.30000000000000004,uni-moderate,1,uni-medium,0.8649999999999999,0.85,0.85,0.85
0.1,log-uni-long,1,exp-light,1.0,1.0,1.0,1.0
0.30000000000000004,uni-moderate,1,uni-light,0.6276595744680851,0.5877659574468083,0.5877659574468083,0.5877659574468083
0.8,uni-long,1,exp-light,0.16759776536312843,0.3240223463687152,0.35754189944134085,0.3603351955307264
0.8,uni-moderate,1,bimo-medium,0.0608695652173913,0.0782608695652174,0.0782608695652174,0.0782608695652174
0.5,log-uni-moderate,1,exp-medium,0.3763736263736264,0.3543956043956044,0.3543956043956044,0.3543956043956044
0.5,log-uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.9,uni-long,1,uni-medium,0.0,0.0,0.019999999999999997,0.019999999999999997
